,nyt_title,nyt_date,nyt_abstract,nyt_url,news_index,poli_con_class,
6896,Aleksei Navalny Inspired Me to Start Pussy Riot. His Vision Is Immortal.,2024-02-24,Nadya Tolokonnikova on the hope she still holds for Russia’s resistance movement.,https://www.nytimes.com/2024/02/24/opinion/alexei-navalny-death-resistance.html,6896,0,
16,New State Laws on Hot-Button Issues Take Effect Today,2024-01-01,"Many state laws take effect on the first day of 2024, including new rules on gun safety, a ban on diversity programs and a curb on telemarketing calls.",https://www.nytimes.com/2024/01/01/us/new-state-laws-2024.html,16,0,
1173,Trump Suggests He’s Decided on a Vice President: ‘I Know Who It’s Going to Be’,2024-01-11,"The former president, at a town hall on Fox News on Wednesday, suggested he has made up his mind on a running mate, but then he declined to provide details.",https://www.nytimes.com/2024/01/10/us/politics/trump-vp-pick.html,1173,0,
9006,Elon Musk Has a Giant Charity. Its Money Stays Close to Home.,2024-03-10,"After making billions in tax-deductible donations to his philanthropy, Elon Musk gave away far less than required in some years — and what he did give often supported his own interests.",https://www.nytimes.com/video/us/100000009350979/elon-musk-keeps-his-money-close.html,9006,0,
11646,"Israel Cites ‘New Initiatives’ for Gaza Aid, but Progress Has Been Slow",2024-03-29,"The country pointed to measures to deliver necessities by land, air and sea that aid groups say are not nearly sufficient to meet the need.",https://www.nytimes.com/2024/03/29/world/middleeast/israel-gaza-aid-famine.html,11646,1,
6671,Friday Briefing: Two Years of War in Ukraine,2024-02-22,"Also, an attempt at a moon landing.",https://www.nytimes.com/2024/02/22/world/asia/friday-briefing-two-years-of-war-in-ukraine.html,6671,1,
8311,The Rich Spend Differently From You and Me,2024-03-05,Your inflation rate may not be mine. Does it matter?,https://www.nytimes.com/2024/03/05/opinion/inflation-income-inequality.html,8311,0,
2431,"Lev Rubinstein, Russian Poet and a Critic of Putin, Is Dead at 76",2024-01-20,He helped found an avant-garde movement fusing art and prose and was outspoken against the invasion of Ukraine. He died after he was hit by a car in Moscow.,https://www.nytimes.com/2024/01/20/world/europe/lev-rubinstein-dead.html,2431,0,
10272,DNA From Discarded Gum Leads to Conviction in 1980 Oregon Murder,2024-03-19,"Robert Arthur Plympton was found guilty of murdering Barbara Mae Tucker, 19, who was kidnapped, sexually assaulted and beaten to death on a community college campus near Portland.",https://www.nytimes.com/2024/03/19/us/oregon-man-guilty-murder-dna.html,10272,0,
3487,Biden’s Options Range From Unsatisfying to Risky After American Deaths,2024-01-29,"President Biden is balancing political pressures, military calculations and regional fragility after a drone strike killed three service members.",https://www.nytimes.com/2024/01/29/us/politics/us-biden-iran-drone-response.html,3487,1,
2100,See the Rapid Expansion of Tent Camps in Southern Gaza,2024-01-18,Satellite images show the huge influx of displaced people in Rafah as more evacuees have moved south to avoid areas under Israeli bombardment.,https://www.nytimes.com/interactive/2024/01/18/world/middleeast/gaza-displaced-tent-camps-rafah.html,2100,1,
1181,"Chris Christie, We Miss You!",2024-01-11,Nikki Haley and Ron DeSantis summon the right fury for the wrong target.,https://www.nytimes.com/2024/01/11/opinion/iowa-debate-desantis-haley.html,1181,0,
11745,‘Punjabi Wave’ Music Hits the Juno Awards Stage,2024-03-30,"Karan Aujla, 27, became the first Punjabi artist to win an award at the Junos as the genre expands its fan base in Canada.",https://www.nytimes.com/2024/03/30/world/canada/juno-awards-karan-aujla.html,11745,0,
3910,"For Orban, Ukraine Is a Pawn in a Longer Game",2024-02-01,"His real aim is to lead a populist and nativist rebellion against Europe’s liberal elite, though that campaign is showing signs of faltering.",https://www.nytimes.com/2024/02/01/world/europe/orban-ukraine-funding-hungary.html,3910,1,
4230,"What Does Being Sober Mean Today? For Many, Not Full Abstinence.",2024-02-04,"More younger Americans are shunning alcohol while embracing cannabis, ketamine and psychedelics, shaking up the field of addiction medicine.",https://www.nytimes.com/2024/02/04/us/addiction-california-sober.html,4230,0,
8525,How the State of the Union Became a Picture of Disunion,2024-03-07,"What used to be a solemn event, governed by dignity and protocol, has more recently become marked by partisan disruption.",https://www.nytimes.com/interactive/2024/03/06/us/state-of-the-union-partisan-history.html,8525,0,
4756,"Iceland Volcano Erupts Again, Cutting Off Hot Water to Thousands",2024-02-08,The flowing lava poured over a key pipe that transports hot water from the local power plant to nearby towns.,https://www.nytimes.com/2024/02/08/world/europe/iceland-volcano-erupts.html,4756,0,
166,Harvard’s President Resigned After Plagiarism Accusations,2024-01-02,"Also, a senior Hamas leader was killed in Beirut. Here’s the latest at the end of Tuesday.",https://www.nytimes.com/2024/01/02/briefing/harvards-president-resigned-after-plagiarism-accusations.html,166,1,
10513,"America First Legal, a Trump-Aligned Group, Is Spoiling for a Fight",2024-03-21,"The group, headed by the former Trump adviser Stephen Miller, has filed more than 100 legal actions against “woke” companies and others. But winning may be beside the point.",https://www.nytimes.com/2024/03/21/us/politics/stephen-miller-america-first-legal.html,10513,0,
6096,"From Frigid Cells to Mystery Injections, Prison Imperiled Navalny’s Health",2024-02-17,"Although Aleksei A. Navalny’s cause of death is not known, his staff often worried that brutal conditions imposed on him in ever crueler prisons might lead to his death.",https://www.nytimes.com/2024/02/17/world/europe/navalny-health-prison-death.html,6096,0,
3407,Maine Town Manager Dies Saving His Son After Both Fall Through Ice,2024-01-28,"Kevin Howell, 51, the town manager in Carmel, Maine, and his 4-year-old son fell through the ice while crossing a pond. He rescued his son, who ran home to get help.",https://www.nytimes.com/2024/01/28/us/maine-town-manager-dies.html,3407,0,
2907,Israel and Hamas’s Cease-Fire and Hostage Deal Proposals: What to Know,2024-01-24,"The negotiations continue, but the sides are far apart on issues including the fate of Hamas’s top leadership in the Gaza Strip.",https://www.nytimes.com/2024/01/24/world/middleeast/israel-hamas-hostages-ceasefire-talks.html,2907,1,
10833,Millions of Low-Income Families Set to Lose Internet Subsidies,2024-03-23,"The Affordable Connectivity Program, a $14.2 billion federal effort to make internet service more affordable, is expected to run out of funding this spring.",https://www.nytimes.com/2024/03/23/us/politics/internet-subsidies-affordable-connecticity-program.html,10833,0,
916,"To Win Iowa, Trump Turns to Allies Like Marjorie Taylor Greene",2024-01-09,"With the former president busy defending himself in court from 91 felony charges, his campaign has deployed high-profile conservatives to help fill the gaps in Iowa.",https://www.nytimes.com/2024/01/09/us/politics/trump-iowa-caucuses-mtg.html,916,0,
822,"Israel Picks Holocaust Survivor Judge for Genocide Case, Surprising Some",2024-01-08,"Aharon Barak, a retired Israeli Supreme Court president, fought the government’s judicial overhaul plan. But it chose him for the panel hearing a case against it in a United Nations court.",https://www.nytimes.com/2024/01/08/world/middleeast/israel-gaza-genocide-case-judge-barak.html,822,0,
4052,Where Have All the Transfers Gone?,2024-02-02,"A quiet January window may not be a bubble bursting, but rather an awareness that the player-acquisition business has changed.",https://www.nytimes.com/2024/02/02/world/europe/january-transfer-window.html,4052,0,
1731,U.S. Defense Secretary Is Released From the Hospital After 2 Weeks,2024-01-15,"The secretary, Lloyd J. Austin III, kept the White House in the dark about his hospitalization for several days, a major breach of protocol at the highest national security levels.",https://www.nytimes.com/2024/01/15/us/politics/defense-secretary-lloyd-austin-hospital-release.html,1731,0,
6683,Pro-Trump Internet Trolls Escalate Ugly Attacks on Nikki Haley,2024-02-22,"For most of the campaign, Ms. Haley was spared the full force of former President Donald J. Trump’s devoted online following. No longer.",https://www.nytimes.com/2024/02/22/us/politics/trump-trolls-nikki-haley.html,6683,0,
182,Military ‘Practice Bomb’ Washes Ashore in California,2024-01-03,"The munition, which was carried to shore by the rough surf that battered the state last week, was found on New Year’s Eve.",https://www.nytimes.com/2024/01/03/us/wwii-bomb-santa-cruz-beach.html,182,0,
9725,How a Tiny Arts Center Is Helping a Rural County Heal After Wildfires,2024-03-15,"The Middletown Art Center in Lake County has turned into a “focal point for the area’s resilience and growth,” one resident said.",https://www.nytimes.com/2024/03/15/us/lake-county-california-art-center.html,9725,0,
6293,"I’m the Mayor of Dearborn, Mich., and My City Feels Betrayed",2024-02-20,I worry Biden will be remembered not as the president who saved American democracy but as the president who sacrificed it for Netanyahu.,https://www.nytimes.com/2024/02/20/opinion/biden-dearborn-michigan-gaza.html,6293,0,
2465,"In France, a Conviction for Police Brutality, but Little Expectation of Change",2024-01-21,"A police officer who seriously injured a 22-year-old Black man with a baton during an arrest in 2017 was convicted, but given only a suspended sentence.",https://www.nytimes.com/2024/01/21/world/europe/france-police-brutality-verdict.html,2465,0,
5004,Burned Vehicles Litter Streets After Clashes in Northern India,2024-02-09,"Protests broke out in the town of Haldwani, India, after officials and the police arrived to demolish a mosque and a Muslim seminary.",https://www.nytimes.com/video/world/asia/100000009305985/india-clashes-mosque-muslim-seminary.html,5004,1,
10861,"Hey, Losers! Here’s How to Bring Baseball’s Very Boring Era to an End.",2024-03-23,"Without trash talk, baseball has lost more than the occasional dugout brawl and well-timed zinger; it’s lost some of its drama.",https://www.nytimes.com/2024/03/23/opinion/baseball-season-mlb-trash-talk.html,10861,0,
8084,My Father’s Quiet Love Speaks Louder Than Words,2024-03-05,Ours is a tacit understanding that we’ve got each other’s backs.,https://www.nytimes.com/2024/03/05/opinion/grief-fathers-first-generation.html,8084,0,
4049,"In California, the Number of Monarch Butterflies Has Dropped by 30 Percent",2024-02-02,The orange and black insects were classified as endangered in 2022.,https://www.nytimes.com/2024/02/02/us/california-monarch-butterflies-population.html,4049,0,
6086,Our Society Is Not a Bee Hive,2024-02-17,A billionaire in Texas is showing how our system really works.,https://www.nytimes.com/2024/02/17/opinion/texas-tim-dunn-trump.html,6086,0,
9503,‘What’s My Life Worth?’ The Big Business of Denying Medical Care,2024-03-14,"Insurance companies have weaponized a seemingly benign process to protect their profits, and it’s putting patients at risk.",https://www.nytimes.com/video/opinion/100000009345904/health-insurance-prior-authorization.html,9503,0,
10800,U.S. Says ISIS Was Responsible for Deadly Moscow Concert Hall Attack,2024-03-22,"After a period of relative quiet, the Islamic State has been trying to increase its external attacks, according to U.S. counterterrorism officials.",https://www.nytimes.com/2024/03/22/world/europe/isis-moscow-attack-concert-hall.html,10800,1,
3354,"For New Moms in Seoul, 3 Weeks of Pampering and Sleep at a Joriwon",2024-01-28,"Some new mothers say postpartum care centers are the best part of childbirth in South Korea, where fewer people are deciding to have children because of high costs.",https://www.nytimes.com/2024/01/28/world/asia/south-korea-joriwon-postpartum-care.html,3354,0,
721,Monday Briefing: Bangladesh’s Troubled Election,2024-01-07,Plus why the first galaxies were banana-shaped.,https://www.nytimes.com/2024/01/07/briefing/bangladesh-election-hamas-gaza-japan-steel.html,721,0,
2938,New Hampshire Showed Trump’s Strengths and Weaknesses,2024-01-24,"Also, a Russian military plane crashed near Ukraine. Here’s the latest at the end of Wednesday.",https://www.nytimes.com/2024/01/24/briefing/new-hampshire-trump-russian-plane-crash.html,2938,0,
5021,Putin to U.S.: Let’s Make a Deal on Ukraine (on My Terms),2024-02-09,"The Russian leader clearly believes he can now negotiate from strength, but the message in the Tucker Carlson interview was muddled, critics say.",https://www.nytimes.com/2024/02/09/world/europe/putin-ukraine-deal-tucker-carlson-interview.html,5021,1,
5735,Which Version of an Ex-General Did Indonesia Just Vote For?,2024-02-15,"Prabowo Subianto has had many identities over the years: a commander under sanctions for rights abuses, a violent nationalist and, now, the candidate of continuity.",https://www.nytimes.com/2024/02/15/world/asia/indonesia-election-president-prabowo.html,5735,0,
7575,Nikki Haley Is Actually Winning,2024-02-29,She’s not running against Trump. She’s using him to launder her image.,https://www.nytimes.com/2024/02/29/opinion/nikki-haley-trump-election.html,7575,0,
1782,Putin Is Making His Plans Brutally Clear,2024-01-16,"Ukrainians know that when it comes to Vladimir Putin, one must not trust what he says, but watch what he does.",https://www.nytimes.com/2024/01/16/opinion/putin-ukraine-war.html,1782,1,
4435,Biden Offers Aid to California as It Deals with Floods and Mudslides,2024-02-06,The president addressed the public via Los Angeles Mayor Karen Bass’s speakerphone to offer aid from FEMA after a deadly atmospheric river hit the state.,https://www.nytimes.com/video/us/100000009299382/biden-offers-aid-to-california-as-it-deals-with-floods-and-mudslides.html,4435,0,
9872,India’s 2024 General Election: What to Know,2024-03-16,India’s general elections will determine the political direction of the world’s most populous nation for the next five years.,https://www.nytimes.com/2024/03/16/world/asia/india-2024-election.html,9872,0,
7318,What Happened in the Michigan Democratic Primary,2024-02-28,"President Biden handily won the primary, but tens of thousands in the swing state voted “uncommitted” over his support for Israel.",https://www.nytimes.com/video/us/politics/100000009333217/michigan-primary-election-2024.html,7318,0,
5400,A 30-Second Kennedy Ad Collides With a Decades-Long Family Legacy,2024-02-13,A Super Bowl commercial that echoed a 1960 campaign ad for John F. Kennedy deepens a growing estrangement between Robert F. Kennedy Jr. and much of his family.,https://www.nytimes.com/2024/02/13/us/politics/rfk-jr-super-bowl-ad-kennedy.html,5400,0,
8296,Why It Takes Longer for California to Count Ballots,2024-03-05,"A heavy reliance on mail-in ballots, and an extensive review process, can lead to a waiting game for results.",https://www.nytimes.com/2024/03/05/us/politics/california-super-tuesday.html,8296,0,
6523,A New Orleans Man Wants His Opossum Back. Thousands Have Joined His Plea.,2024-02-21,"The much-loved marsupial, Saffron, was known to frequent the French Quarter with his owner. A friend started a petition for the opossum’s return after state wildlife authorities seized him this month.",https://www.nytimes.com/2024/02/21/us/opossum-pet-louisiana-petition.html,6523,0,
5980,"Israel Was Behind Attacks on Major Gas Pipelines in Iran, Officials Say",2024-02-16,"The sabotage, which analysts said marked an escalation in the shadow war between Israel and Iran, caused sweeping disruption in several provinces.",https://www.nytimes.com/2024/02/16/world/middleeast/iran-israel-attacks-gas-pipelines.html,5980,1,
10427,"Inspired by Texas, Republicans in Other States Eye Immigration Bills",2024-03-20,"Iowa lawmakers passed a similar bill on Tuesday, and several other states are hoping to follow suit.",https://www.nytimes.com/2024/03/20/us/texas-immigration-republican-states.html,10427,0,
3523,U.N. Agency for Palestinians Imperiled by Terrorism Charges,2024-01-29,"Donors have pulled funds for the main aid agency in Gaza after allegations that some employees took part in the Oct. 7 attack, but it is not clear who would fill the vacuum if it ran out of money.",https://www.nytimes.com/2024/01/29/world/middleeast/unrwa-israel-gaza-terrorism.html,3523,1,
1739,Israeli Teenager Recounts Her Time as a Hostage in Gaza,2024-01-15,"Hila Rotem Shoshani, 13, is the youngest of the hostages freed from Gaza to speak out about the harsh conditions in which they were held.",https://www.nytimes.com/2024/01/16/world/middleeast/israel-hostage-hamas-gaza.html,1739,1,
4414,G.O.P. Backlash to Border Deal Reflects Vanishing Ground for a Compromise,2024-02-05,"Republicans demanded a border crackdown but have rejected a bipartisan plan to impose one, underscoring the intractable politics of the issue in an election year.",https://www.nytimes.com/2024/02/05/us/politics/republicans-border-deal.html,4414,0,
1410,Taiwan Goes to the Polls,2024-01-12,The election could reshape international affairs.,https://www.nytimes.com/2024/01/12/briefing/taiwan-election.html,1410,0,
1177,"‘I’m Not Going to Have Time for Retribution,’ Trump Says at Town Hall",2024-01-11,The town hall on Fox News was the former president’s counterprogramming as Nikki Haley and Ron DeSantis debated on CNN.,https://www.nytimes.com/2024/01/10/us/politics/trump-town-hall-fox.html,1177,0,
1467,"Man Killed Son in 1989, Then Staged Tearful TV Discovery, Officials Say",2024-01-12,"After a fresh investigation into the death of 5-year-old Justin Lee Turner, the South Carolina authorities have charged his father, Victor Lee Turner, and stepmother with murder.",https://www.nytimes.com/2024/01/12/us/justin-turner-killed-cold-case.html,1467,0,
9456,Thursday Briefing: U.S. Targets TikTok,2024-03-13,"Also, aid to northern Gaza and whimsical wooden automatons",https://www.nytimes.com/2024/03/13/world/asia/target-us-gaza-aid-asia.html,9456,0,
9427,Inside the Blunders That Plunged the College Admission Season Into Disarray,2024-03-13,"The Education Department was supposed to make applying for federal financial aid easier. Instead, it got worse.",https://www.nytimes.com/2024/03/13/us/politics/fafsa-college-admissions.html,9427,0,
2178,Friday Briefing: Pakistan Retaliates With Strikes in Iran,2024-01-18,"Also, corruption accusations in Singapore.",https://www.nytimes.com/2024/01/18/briefing/pakistan-iran.html,2178,1,
1961,Ann Arbor School Board Set to Vote on Israel-Gaza Ceasefire Resolution,2024-01-17,"The proposed resolution has divided the left-leaning Michigan college town, home to sizable Arab and Jewish populations.",https://www.nytimes.com/2024/01/17/us/ann-arbor-israel-gaza-ceasefire.html,1961,0,
3287,When Soccer’s Content Mine Loses Sight of Reality,2024-01-27,"As documentaries and series about teams proliferate, it’s easy to pine for the ones that offered the clearest windows into the game.",https://www.nytimes.com/2024/01/27/world/europe/liverpool-wrexham.html,3287,0,
3172,A Child of Another War Who Makes Music for Ukrainians,2024-01-26,"Mirza Ramic, a Bosnian who sought refuge in the United States, is bringing his electronic music to Ukraine, “to show my support in these hard times.”",https://www.nytimes.com/2024/01/26/world/europe/ukraine-music-mirza-ramic.html,3172,1,
11302,How Los Angeles Is Approaching Homelessness,2024-03-27,A conversation with the Times reporter who wrote about Mayor Karen Bass’s flagship program to solve homelessness.,https://www.nytimes.com/2024/03/27/us/los-angeles-homelessness.html,11302,0,
6630,San Diego Zoo Could Be First in U.S. to Get Pandas From China Again,2024-02-22,"China said it reached agreements with zoos to again send giant pandas to the United States and Europe, continuing a tradition of animal-based diplomacy.",https://www.nytimes.com/2024/02/22/us/san-diego-zoo-pandas-china.html,6630,0,
3757,News Outlet Blames Photoshop for Making Australian Lawmaker’s Photo More Revealing,2024-01-31,"9News apologized for the edited photo of the member of state Parliament, Georgie Purcell, which it said was a result of “automation by Photoshop.”",https://www.nytimes.com/2024/01/31/world/australia/australia-georgie-purcell-9news-photoshop.html,3757,0,
176,Court Rules Texas Can Ban Emergency Abortions Despite Federal Guidance,2024-01-03,The U.S. Court of Appeals for the Fifth Circuit affirmed a ruling that sided with the state on whether emergency rooms are required to perform emergency abortions.,https://www.nytimes.com/2024/01/02/us/texas-emergency-abortion-ban-appeal.html,176,0,
