news_index,nyt_txt,country
260,russia and ukraine exchange record number of p o w s the exchange of prisoners was the first in months and came as both sides were engaged in an escalating cycle of air assaults,russia
260,russia and ukraine exchange record number of p o w s the exchange of prisoners was the first in months and came as both sides were engaged in an escalating cycle of air assaults,ukraine
266,blasts kill dozens in iran two bombs exploded along the road near the burial site of qassim suleimani iran s former top general during a commemoration on the fourth anniversary of his assassination by the united states,iran
267,mexico authorities rescue 31 migrants abducted near border with u s cartels are preying on asylum seekers and migrants from around the world as they crowd northern mexico creating a kidnap for ransom revenue stream,mexico
279,israel says it dismantled a hamas built tunnel under a gaza hospital the israeli military says the tearing down was done in november and that hospital wasn t damaged in the process,israel
279,israel says it dismantled a hamas built tunnel under a gaza hospital the israeli military says the tearing down was done in november and that hospital wasn t damaged in the process,lebanon
279,israel says it dismantled a hamas built tunnel under a gaza hospital the israeli military says the tearing down was done in november and that hospital wasn t damaged in the process,palestine
281,israel supreme court delivers setback to campaign to remove checks on netanyahu the country s supreme court ruled to postpone the adoption of a new law making it harder to designate a sitting prime minister unfit for office a direct blow to prime minister benjamin netanyahu,israel
284,thursday briefing blasts in iran kill dozens plus china shakes up its military,iran
284,thursday briefing blasts in iran kill dozens plus china shakes up its military,china
287,hezbollah s leader pledges revenge for killing of a hamas leader in beirut yesterday s crime will not go unpunished hassan nasrallah warned ominously but he gave no specifics saying he would speak again on friday,lebanon
287,hezbollah s leader pledges revenge for killing of a hamas leader in beirut yesterday s crime will not go unpunished hassan nasrallah warned ominously but he gave no specifics saying he would speak again on friday,palestine
295,attacks heighten fears of a wider war for the middle east and u s the killing of a top hamas leader in lebanon and mysterious twin explosions in iran heighten fears of a regional war that could draw in the united states,lebanon
295,attacks heighten fears of a wider war for the middle east and u s the killing of a top hamas leader in lebanon and mysterious twin explosions in iran heighten fears of a regional war that could draw in the united states,palestine
295,attacks heighten fears of a wider war for the middle east and u s the killing of a top hamas leader in lebanon and mysterious twin explosions in iran heighten fears of a regional war that could draw in the united states,iran
296,more than 100 people in iran killed in blasts at suleimani memorial more than 200 people were also injured after two roadside bombs exploded during a memorial for qassim suleimani iran s former top general who was killed by a u s drone strike four years ago,iran
302,israelis worry a blow against hamas may bring blowback israelis welcomed news that a top palestinian militant had been killed but feared that it might impede the release of hostages and kindle a broader war,israel
302,israelis worry a blow against hamas may bring blowback israelis welcomed news that a top palestinian militant had been killed but feared that it might impede the release of hostages and kindle a broader war,lebanon
302,israelis worry a blow against hamas may bring blowback israelis welcomed news that a top palestinian militant had been killed but feared that it might impede the release of hostages and kindle a broader war,palestine
317,israelis question army s rules of engagement after hostages slain israel s military said that soldiers who shot hostages while they waved a white flag violated its rules of engagement human rights activists say the rules are good but enforcement is lax,israel
319,thursday briefing a deadly blast in iran,iran
363,islamic state claims responsibility for deadly bombings in iran the group which has struck before in iran has a long history of division with the country,iran
374,a trophy in ruins evidence grows that russia controls marinka ukraine said it was defending territory behind the eastern frontline town its capture would be russia s most significant territorial advance in ukraine in more than six months,russia
374,a trophy in ruins evidence grows that russia controls marinka ukraine said it was defending territory behind the eastern frontline town its capture would be russia s most significant territorial advance in ukraine in more than six months,ukraine
380,kim jong un s daughter is his likely successor south korea says kim ju ae has long accompanied her dictator father to important state events like long range missile tests and military parades,south korea
381,iraq condemns u s after drone strike in baghdad the attack acknowledged by the pentagon killed a senior militant leader of an iran allied group with ties to the iraqi government s security apparatus,iraq
381,iraq condemns u s after drone strike in baghdad the attack acknowledged by the pentagon killed a senior militant leader of an iran allied group with ties to the iraqi government s security apparatus,iran
423,white house says north korea providing russia with ballistic missiles russia has rebuilt its own domestic supply of cruise missiles but to keep up with the intensity of the barrage against ukraine it has been turning to north korea and iran,north korea
423,white house says north korea providing russia with ballistic missiles russia has rebuilt its own domestic supply of cruise missiles but to keep up with the intensity of the barrage against ukraine it has been turning to north korea and iran,russia
423,white house says north korea providing russia with ballistic missiles russia has rebuilt its own domestic supply of cruise missiles but to keep up with the intensity of the barrage against ukraine it has been turning to north korea and iran,ukraine
423,white house says north korea providing russia with ballistic missiles russia has rebuilt its own domestic supply of cruise missiles but to keep up with the intensity of the barrage against ukraine it has been turning to north korea and iran,iran
424,education dept official resigns over biden s policies on israel and gaza tariq habash who is palestinian american said the biden administration does not value all human life equally,israel
424,education dept official resigns over biden s policies on israel and gaza tariq habash who is palestinian american said the biden administration does not value all human life equally,palestine
437,a u s strike killed an iran allied militant leader also biden faces immigration pressure from democrats here s the latest at the end of thursday,iran
445,towns empty and farms languish as war stalks israeli lebanese border more than 150 000 people have been driven from their homes on both sides of the frontier as israeli forces clash with hezbollah militants,israel
445,towns empty and farms languish as war stalks israeli lebanese border more than 150 000 people have been driven from their homes on both sides of the frontier as israeli forces clash with hezbollah militants,lebanon
462,north korea fires artillery near border with south korea the south asked nearby islanders to seek shelter before it launched a military exercise in the disputed waters and chided the north for threatening peace,north korea
462,north korea fires artillery near border with south korea the south asked nearby islanders to seek shelter before it launched a military exercise in the disputed waters and chided the north for threatening peace,south korea
464,the u s secretary of state begins a mideast trip amid worries of broader conflict secretary of state antony j blinken was set on friday to begin a diplomatic tour through the middle east as the biden administration seeks to defuse tensions in the region where fears are growing that the war in gaza could spiral into a broader conflict,palestine
471,residents near israel lebanon border live with uncertainty as the conflict between israel and hezbollah escalates some israeli residents are making trips back to their homes along the border with lebanon despite orders to stay away while others wait with uncertainty,israel
471,residents near israel lebanon border live with uncertainty as the conflict between israel and hezbollah escalates some israeli residents are making trips back to their homes along the border with lebanon despite orders to stay away while others wait with uncertainty,lebanon
476,a palestinian man vanished oct 7 his family wants to know who killed him soheib abu amar who lived in east jerusalem was captured by hamas during its attack on israel his brothers spent weeks investigating what happened next,palestine
476,a palestinian man vanished oct 7 his family wants to know who killed him soheib abu amar who lived in east jerusalem was captured by hamas during its attack on israel his brothers spent weeks investigating what happened next,israel
476,a palestinian man vanished oct 7 his family wants to know who killed him soheib abu amar who lived in east jerusalem was captured by hamas during its attack on israel his brothers spent weeks investigating what happened next,lebanon
491,the families of hostages are calling on israel to do something radical in israel they are putting pressure on the government pushing for a political path to release the remaining hostages,israel
502,america must face up to israel s extremism government ministers calls to depopulate gaza implicate the u s,israel
502,america must face up to israel s extremism government ministers calls to depopulate gaza implicate the u s,palestine
508,heavy rain in u k causes hundreds of flood warnings and travel disruptions in london around 50 people were evacuated from rising waters heavy rain brought similar scenes to parts of france and germany,u k
508,heavy rain in u k causes hundreds of flood warnings and travel disruptions in london around 50 people were evacuated from rising waters heavy rain brought similar scenes to parts of france and germany,france
508,heavy rain in u k causes hundreds of flood warnings and travel disruptions in london around 50 people were evacuated from rising waters heavy rain brought similar scenes to parts of france and germany,germany
509,beyond the front lines the war in ukraine has entered a new phase,ukraine
521,to bolster russia s army putin eases citizenship path for foreign fighters president vladimir v putin is seeking to strengthen his military to fight in ukraine while avoiding a potentially unpopular mobilization of russians,russia
521,to bolster russia s army putin eases citizenship path for foreign fighters president vladimir v putin is seeking to strengthen his military to fight in ukraine while avoiding a potentially unpopular mobilization of russians,ukraine
525,blinken returns to middle east as tensions grow with israel details of a clash between the u s secretary of state and israel s prime minister point to the challenges ahead,israel
545,after the iowa shooting demands that politicians act readers urge the public to push for stricter laws to reduce gun violence also young voters israeli arab hope immigration judges inmates and cats,israel
549,hezbollah s leader says it would not negotiate peace with israel until war in gaza ends in a televised speech hassan nasrallah addressed israeli citizens directly warning that they will be the first to pay the price unless the military action stops,lebanon
549,hezbollah s leader says it would not negotiate peace with israel until war in gaza ends in a televised speech hassan nasrallah addressed israeli citizens directly warning that they will be the first to pay the price unless the military action stops,israel
549,hezbollah s leader says it would not negotiate peace with israel until war in gaza ends in a televised speech hassan nasrallah addressed israeli citizens directly warning that they will be the first to pay the price unless the military action stops,palestine
567,terrorism in iran exposes a vulnerability it doesn t want to admit even after the islamic state took responsibility for deadly bombings iran s government facing public anger blamed israel,iran
567,terrorism in iran exposes a vulnerability it doesn t want to admit even after the islamic state took responsibility for deadly bombings iran s government facing public anger blamed israel,israel
598,as pressure mounts israeli minister proposes plan for postwar gaza the plan exposed divisions in israel s war cabinet as secretary of state antony j blinken returned to the middle east on friday in an effort to ease escalating tensions,israel
598,as pressure mounts israeli minister proposes plan for postwar gaza the plan exposed divisions in israel s war cabinet as secretary of state antony j blinken returned to the middle east on friday in an effort to ease escalating tensions,palestine
619,as gaza losses mount under strikes dignified burials are another casualty the lucky are those who have someone to bury them when they die dr mohammad abu moussa a radiologist at one gaza hospital said of those killed by israeli airstrikes,palestine
619,as gaza losses mount under strikes dignified burials are another casualty the lucky are those who have someone to bury them when they die dr mohammad abu moussa a radiologist at one gaza hospital said of those killed by israeli airstrikes,israel
627,ukraine s patriot defenses at work shuddering booms and bursts of light the american provided air defense systems have helped ukraine defend itself against russian assaults but washington has warned that it will not be able to keep them supplied for much longer,ukraine
627,ukraine s patriot defenses at work shuddering booms and bursts of light the american provided air defense systems have helped ukraine defend itself against russian assaults but washington has warned that it will not be able to keep them supplied for much longer,russia
640,hezbollah fires rockets at israel in response to killing in beirut israel said it had fired back at militants involved in the rocket launches but the exchange stopped short of a major escalation,lebanon
640,hezbollah fires rockets at israel in response to killing in beirut israel said it had fired back at militants involved in the rocket launches but the exchange stopped short of a major escalation,israel
648,after niger coup u s scrambles to keep a vital air base after the generals took charge the united states was forced to suspend operations at its most strategic military asset in sub saharan africa restarting them won t be easy,niger
661,russian attacks kill 11 civilians near eastern front ukraine says ukrainian officials said missile assaults had struck private houses trapping residents under the rubble and that the dead included five children,russia
661,russian attacks kill 11 civilians near eastern front ukraine says ukrainian officials said missile assaults had struck private houses trapping residents under the rubble and that the dead included five children,ukraine
675,blinken in jordan and qatar continues his mideast tour in hopes of reducing tensions antony j blinken the u s secretary of state met separately in amman with king abdullah ii and ayman safadi jordan s foreign minister,jordan
675,blinken in jordan and qatar continues his mideast tour in hopes of reducing tensions antony j blinken the u s secretary of state met separately in amman with king abdullah ii and ayman safadi jordan s foreign minister,qatar
676,dignified burials have become another casualty in gaza for four days kareem sabawi s body lay wrapped in a blanket in a cold empty apartment as his family sheltered nearby he was killed during intense israeli bombardment near his family home his father and mother said and in the days that followed it was too dangerous to step outside and lay their 10 year old child to rest,palestine
676,dignified burials have become another casualty in gaza for four days kareem sabawi s body lay wrapped in a blanket in a cold empty apartment as his family sheltered nearby he was killed during intense israeli bombardment near his family home his father and mother said and in the days that followed it was too dangerous to step outside and lay their 10 year old child to rest,israel
692,war brings tensions and assault rifles into an israeli college at the university of haifa more than 40 percent of students are arab some with family in gaza and many others have now been called up as soldiers,israel
692,war brings tensions and assault rifles into an israeli college at the university of haifa more than 40 percent of students are arab some with family in gaza and many others have now been called up as soldiers,palestine
704,what will happen to gaza s people officials are increasingly suggesting that palestinians should leave the region the government denies that s its policy,palestine
710,two more journalists killed in gaza including son of al jazeera reporter hamza al dahdouh the son of al jazeera s gaza bureau chief and a second reporter were killed in what officials in the territory said was an israeli airstrike two others were wounded,palestine
710,two more journalists killed in gaza including son of al jazeera reporter hamza al dahdouh the son of al jazeera s gaza bureau chief and a second reporter were killed in what officials in the territory said was an israeli airstrike two others were wounded,israel
723,from lebanon to the red sea a broader conflict with iran looms with its proxies attacking from many vantage points and its nuclear program suddenly revived iran is posing a new challenge to the west this time with russia and china on its side,lebanon
723,from lebanon to the red sea a broader conflict with iran looms with its proxies attacking from many vantage points and its nuclear program suddenly revived iran is posing a new challenge to the west this time with russia and china on its side,iran
723,from lebanon to the red sea a broader conflict with iran looms with its proxies attacking from many vantage points and its nuclear program suddenly revived iran is posing a new challenge to the west this time with russia and china on its side,russia
723,from lebanon to the red sea a broader conflict with iran looms with its proxies attacking from many vantage points and its nuclear program suddenly revived iran is posing a new challenge to the west this time with russia and china on its side,china
726,as west bank violence rises israel vows to pursue military goals in gaza diplomats toured the mideast sunday on a mission to stop the war from widening but tensions in the gaza strip spread across the region,israel
726,as west bank violence rises israel vows to pursue military goals in gaza diplomats toured the mideast sunday on a mission to stop the war from widening but tensions in the gaza strip spread across the region,palestine
758,russia pounds several ukrainian regions with missiles the attack killed at least four people wounded many others and caused heavy damage it came as moscow has intensified air assaults in recent days,russia
792,blinken says saudi arabia remains interested in diplomatic ties with israel the u s secretary of state on a trip to the middle east that included a meeting with the saudi crown prince said such a move would require an end to fighting in gaza and steps toward a palestinian state,saudi arabia
792,blinken says saudi arabia remains interested in diplomatic ties with israel the u s secretary of state on a trip to the middle east that included a meeting with the saudi crown prince said such a move would require an end to fighting in gaza and steps toward a palestinian state,israel
792,blinken says saudi arabia remains interested in diplomatic ties with israel the u s secretary of state on a trip to the middle east that included a meeting with the saudi crown prince said such a move would require an end to fighting in gaza and steps toward a palestinian state,palestine
793,india s top court reverses early release of 11 men convicted of gang rape the case of bilkis bano who was three months pregnant when she was attacked became a powerful symbol of communal bloodshed and of the widespread violence against women in the country,india
794,exhausted on the defensive and at hell s gate in ukraine the country s forces along a broad stretch of the front say that with russia pushing forward the war has never been so dangerous,ukraine
794,exhausted on the defensive and at hell s gate in ukraine the country s forces along a broad stretch of the front say that with russia pushing forward the war has never been so dangerous,russia
813,israel says its military is starting to shift to a more targeted gaza campaign israeli officials privately say that they hope to complete the transition by the end of january but that the timeline could change,israel
813,israel says its military is starting to shift to a more targeted gaza campaign israeli officials privately say that they hope to complete the transition by the end of january but that the timeline could change,palestine
815,india and maldives trade barbs after modi s beach visit some in the maldives were critical of prime minister narendra modi s trip to nearby indian islands to promote tourism seeing it as an attempt to draw visitors away from their nation,india
815,india and maldives trade barbs after modi s beach visit some in the maldives were critical of prime minister narendra modi s trip to nearby indian islands to promote tourism seeing it as an attempt to draw visitors away from their nation,maldives
817,an enforcer for a strongman president goes on trial in milestone swiss case ousman sonko served the authoritarian president of gambia for years seeking asylum in switzerland after losing his job now he faces charges of crimes against humanity,gambia
817,an enforcer for a strongman president goes on trial in milestone swiss case ousman sonko served the authoritarian president of gambia for years seeking asylum in switzerland after losing his job now he faces charges of crimes against humanity,switzerland
830,franz beckenbauer der kaiser of world soccer dies at 78 in west germany he revolutionized his central defense position and was one of only three people to win the world cup as a player and a coach,germany
837,ukrainian residential buildings destroyed by russian air assault some civilians sheltered in subway stations as russia launched a widespread missile attack on regions across ukraine,russia
837,ukrainian residential buildings destroyed by russian air assault some civilians sheltered in subway stations as russia launched a widespread missile attack on regions across ukraine,ukraine
843,here s what to know about hezbollah s radwan force the elite unit of the lebanese armed group lost a commander in a strike on monday,lebanon
850,video shows aftermath of strike in southern lebanon a video circulating on social media on monday showed the scene of a strike in khirbet selm a village in southern lebanon,lebanon
865,israeli strikes in lebanon kill hezbollah commander militia says the latest strikes across israel s northern border came as the u s secretary of state made another trip to the middle east in efforts to prevent a wider war,israel
865,israeli strikes in lebanon kill hezbollah commander militia says the latest strikes across israel s northern border came as the u s secretary of state made another trip to the middle east in efforts to prevent a wider war,lebanon
873,tuesday briefing israel s next phase of the war in gaza,israel
873,tuesday briefing israel s next phase of the war in gaza,palestine
875,blinken begins meetings in israel amid deepening disagreements over the war secretary of state antony j blinken was meeting with top israeli officials on tuesday continuing diplomatic efforts to avert a broader war in the region,israel
909,the hard truth of israel s endgame in gaza peter beinart warns that the country is committing a sin that cannot be atoned for,israel
909,the hard truth of israel s endgame in gaza peter beinart warns that the country is committing a sin that cannot be atoned for,palestine
912,for gaza s pregnant women and newborns the war will never be over even if the war ends tomorrow its effects will last a lifetime for new mothers and their children,palestine
919,a glimpse inside a devastated gaza in the ruins of two gazan towns new york times journalists witnessed the sheer destruction that israel s war has wrought and the devastation of hamas s operations,palestine
919,a glimpse inside a devastated gaza in the ruins of two gazan towns new york times journalists witnessed the sheer destruction that israel s war has wrought and the devastation of hamas s operations,israel
919,a glimpse inside a devastated gaza in the ruins of two gazan towns new york times journalists witnessed the sheer destruction that israel s war has wrought and the devastation of hamas s operations,lebanon
920,u s navy sailor who helped china is sentenced to 2 years in prison wenheng zhao pleaded guilty to charges that he sent photos of american military installations and details of u s military exercises to an intelligence officer working for china,china
923,saudi israel ties depend on steps toward a palestinian state blinken says in meetings with israeli leaders the u s secretary of state held out the prospect of saudi recognition to prod israel to curb combat operations in gaza and accept a path to palestinian statehood,israel
923,saudi israel ties depend on steps toward a palestinian state blinken says in meetings with israeli leaders the u s secretary of state held out the prospect of saudi recognition to prod israel to curb combat operations in gaza and accept a path to palestinian statehood,palestine
924,a missile a rocket or a satellite chinese flyover sows confusion in taiwan a warning from taiwan about a satellite erroneously called a missile in english raised concerns about chinese harassment days before an election,taiwan
927,new york times journalists get a glimpse inside a devastated gaza for a few fleeting moments the two story house on the edge of bureij a ruined town in central gaza still felt like a palestinian home,palestine
934,israel shifting war tempo tailors its messages for home and abroad israeli officials have told foreign journalists that they are starting to slow military operations in gaza while assuring the israeli public that the war against hamas will go on,israel
934,israel shifting war tempo tailors its messages for home and abroad israeli officials have told foreign journalists that they are starting to slow military operations in gaza while assuring the israeli public that the war against hamas will go on,palestine
934,israel shifting war tempo tailors its messages for home and abroad israeli officials have told foreign journalists that they are starting to slow military operations in gaza while assuring the israeli public that the war against hamas will go on,lebanon
943,israel says it killed another hezbollah commander after back and forth attacks a deadly airstrike,israel
943,israel says it killed another hezbollah commander after back and forth attacks a deadly airstrike,lebanon
950,fauda actor is seriously injured fighting in gaza the actor idan amedi underwent surgery to remove shrapnel from his body and was expected to recover israeli news media reported,palestine
950,fauda actor is seriously injured fighting in gaza the actor idan amedi underwent surgery to remove shrapnel from his body and was expected to recover israeli news media reported,israel
986,ecuador plunges into crisis amid prison riots and gang leader s disappearance the president declared a state of emergency and ordered the military to neutralize dozens of gangs gunmen stormed a tv studio as cameras rolled,ecuador
1018,what to know about the chaos in ecuador violence erupted across the south american country this week after a notorious gang leader disappeared from prison the president has declared a state of emergency,ecuador
1026,as u s support for ukraine falters europe splits on filling the gap president volodymyr zelensky of ukraine is likely to find strong backing on a trip to the baltic states but other nations are increasingly wary,ukraine
1027,we live in constant fear violence erupts across ecuador chaos has consumed ecuador after gang leaders escaped prisons and armed men commandeered a live tv broadcast,ecuador
1036,the agony and determination of sderot the mayor of an israeli town attacked by hamas on oct 7 describes the devastation the will to recover and the source of its resilience,israel
1036,the agony and determination of sderot the mayor of an israeli town attacked by hamas on oct 7 describes the devastation the will to recover and the source of its resilience,lebanon
1036,the agony and determination of sderot the mayor of an israeli town attacked by hamas on oct 7 describes the devastation the will to recover and the source of its resilience,palestine
1061,u n expert will investigate reports of sex crimes by hamas israel says the official accepted israel s invitation and is expected to go there soon the foreign ministry said hamas has denied that its fighters committed sex crimes during the oct 7 attacks,lebanon
1061,u n expert will investigate reports of sex crimes by hamas israel says the official accepted israel s invitation and is expected to go there soon the foreign ministry said hamas has denied that its fighters committed sex crimes during the oct 7 attacks,palestine
1061,u n expert will investigate reports of sex crimes by hamas israel says the official accepted israel s invitation and is expected to go there soon the foreign ministry said hamas has denied that its fighters committed sex crimes during the oct 7 attacks,israel
1063,blinken meets with abbas to talk about gaza s future the u s secretary of state spoke with mahmoud abbas the leader of the palestinian authority about the role the authority might play after israel s war with hamas,palestine
1063,blinken meets with abbas to talk about gaza s future the u s secretary of state spoke with mahmoud abbas the leader of the palestinian authority about the role the authority might play after israel s war with hamas,israel
1063,blinken meets with abbas to talk about gaza s future the u s secretary of state spoke with mahmoud abbas the leader of the palestinian authority about the role the authority might play after israel s war with hamas,lebanon
1086,at world court israel to confront accusations of genocide israel has categorically rejected the allegations being brought this week in the international court of justice by south africa,israel
