,nyt_title,nyt_date,poli_con_class,nyt_url,nyt_abstract,news_index
34,‘Nowhere Is Safe in Gaza’: South Africa Accuses Israel of Genocide,2024-01-11,1,https://www.nytimes.com/video/world/middleeast/100000009261764/israel-south-africa-gaza-genocide.html,South Africa began laying out its case that Israel is acting with “genocidal intent” in Gaza to the International Court of Justice in The Hague.,1313
35,Atlanta Prosecutor Faces Upheaval in Trump Inquiry,2024-01-12,0,https://www.nytimes.com/2024/01/11/us/fani-willis-trump-georgia-case.html,Accusations involving her relationship with the lead prosecutor she hired are seen as unlikely to derail the case but could cause serious distractions.,1337
37,"Oregon Supreme Court Lets Trump Stay on Primary Ballot, for Now",2024-01-12,0,https://www.nytimes.com/2024/01/12/us/oregon-trump-ballot.html,"The court denied a challenge to former President Donald J. Trump’s ballot eligibility under the 14th Amendment, saying it would wait for the U.S. Supreme Court to rule in a similar case.",1460
40,"New Leader Set to Take Over in Guatemala, Raising Hopes for a Fragile Democracy",2024-01-14,0,https://www.nytimes.com/2024/01/14/us/guatemala-president-inauguration-democracy.html,"Bernardo Arévalo, an anticorruption crusader, had to fight to make it to Sunday’s inauguration. His challenges are just beginning.",1615
43,"They Thought They Knew Death, but That Didn’t Prepare Them for Oct. 7",2024-01-15,1,https://www.nytimes.com/2024/01/15/world/middleeast/zaka-israel-oct-7.html,"Volunteers with ZAKA, an Israeli group that recovers dead bodies, were among the first to reach the victims of the Hamas-led attacks. The trauma of what they witnessed may last a lifetime.",1684
46,My Iowa: Covering the Caucuses as a Native or a Newcomer,2024-01-15,0,https://www.nytimes.com/2024/01/15/us/politics/iowa-reporters.html,One of our reporters grew up in Iowa City and was inspired to become a journalist after witnessing the caucuses in action. Another touched down here for the first time two months ago. They compared notes.,1748
47,"Houthis, Undeterred by Strikes, Target More Ships in Red Sea",2024-01-16,1,https://www.nytimes.com/2024/01/15/world/middleeast/houthis-ships-red-sea.html,The Iranian-backed militants launched a fresh round of attacks days after their military sites were hit by U.S. and British forces.,1753
55,"Iran’s New Missile Fleet: Part Deterrent, Part Sales Pitch",2024-01-18,1,https://www.nytimes.com/2024/01/18/world/middleeast/iran-missile-program.html,"Last year, the world discovered that Iran’s drones were becoming world-class threats and a favorite of the Russians. Now, its revived missile fleet is drawing attention, too.",2109
56,Friday Briefing: Pakistan Retaliates With Strikes in Iran,2024-01-18,1,https://www.nytimes.com/2024/01/18/briefing/pakistan-iran.html,"Also, corruption accusations in Singapore.",2178
61,Divisions Emerging in Israel Over Gaza War,2024-01-19,1,https://www.nytimes.com/2024/01/19/us/divisions-israel-gaza-netanyahu-hostages.html,"Protesters demanded action to free hostages, a war cabinet minister criticized the military campaign and the Israeli prime minister publicly ruled out a two-state solution, rebuffing the U.S.",2353
62,"As Missiles Strike, a Radio Station Broadcasts the Rage of a Battered City",2024-01-20,1,https://www.nytimes.com/2024/01/20/world/europe/kharkiv-ukraine-russia-radio-station.html,"Kharkiv, in northern Ukraine, is under almost daily bombardment. Radio Boiling Over serves as a megaphone for residents’ fears and frustrations.",2400
63,Attacks in Syria and Iraq Ratchet Tensions in a Region Already on Edge,2024-01-20,1,https://www.nytimes.com/2024/01/20/world/middleeast/israel-attack-syria-iran.html,A senior Iranian intelligence official was killed in an Israeli strike in Damascus as U.S. troops came under attack in Iraq.,2438
66,Fierce Storm Sends Flights Bound for One Country to Another,2024-01-22,0,https://www.nytimes.com/2024/01/22/world/europe/storm-isha-flight-delays-britain.html,Ferocious winds forced pilots to abort landings and divert passengers hundreds of miles from their original destinations.,2619
68,Swatting and the Dangerous Rise of Political Violence,2024-01-23,0,https://www.nytimes.com/2024/01/23/opinion/swatting-political-violence.html,Swatting isn’t a harmless prank; it’s a sign of a deeper disorder in American politics.,2682
69,No Labels Sued by New York Donors Claiming ‘Bait and Switch’,2024-01-23,0,https://www.nytimes.com/2024/01/23/us/politics/durst-no-labels-lawsuit-election-donors.html,"Two members of the Durst real estate family are suing the centrist political group No Labels, saying its pursuit of a possible third-party presidential bid is a breach of contract.",2734
71,"Biden, Brushing Off Gaza Protesters at Rally, Calls for Restoring Abortion Rights",2024-01-24,0,https://www.nytimes.com/2024/01/23/us/politics/biden-abortion-gaza-protesters.html,"The event was interrupted by at least 10 people protesting the war in Gaza, but the president focused on calling attention to restrictive abortion laws.",2797
72,5 Takeaways From the New Hampshire Primary,2024-01-24,0,https://www.nytimes.com/2024/01/23/us/politics/new-hampshire-takeaways-trump-haley.html,"Donald Trump made history with a second straight victory, as Nikki Haley and her supporters look increasingly adrift in his Republican Party.",2815
74,Bounty Hunter Sentenced to 10 Years in Prison for Kidnapping Woman,2024-01-24,0,https://www.nytimes.com/2024/01/24/us/bounty-hunter-kidnapping-sentencing.html,"Prosecutors said Wayne D. Lozier Jr., 45, of Louisiana, traveled to Missouri to apprehend a woman for a bail bond company that had hired him. But he wasn’t properly licensed in Missouri, the authorities said.",2936
77,"Yellen, Criticizing Trump, Says Biden’s Economy Has Delivered Gains",2024-01-25,0,https://www.nytimes.com/2024/01/25/us/politics/yellen-criticizing-trump-says-bidens-economy-has-delivered-gains.html,"The Treasury Secretary acknowledged that consumer prices, which have weighed on economic sentiment, continue to be too high.",3075
79,"The 100-Year Extinction Panic Is Back, Right on Schedule",2024-01-26,0,https://www.nytimes.com/2024/01/26/opinion/polycrisis-doom-extinction-humanity.html,The end is near. Again.,3159
83,Genocide Ruling Has Deep Symbolism but Little Immediate Effect,2024-01-26,1,https://www.nytimes.com/2024/01/26/world/middleeast/icj-genocide-ruling-israel-gaza.html,The decision by the World Court did not order Israel to cease its war against Hamas in Gaza. But the court made a move imbued with historical meaning.,3225
84,Haley Assails Trump as ‘Unhinged’ and Dismisses Calls to Exit the Race,2024-01-26,0,https://www.nytimes.com/2024/01/26/us/politics/nikki-haley-trump-unhinged.html,Nikki Haley attacked the Republican front-runner during an appearance Friday on Fox News.,3234
86,"To Fix Its Airlines, Does the U.S. Need to Rethink Regulation?",2024-01-26,0,https://www.nytimes.com/2024/01/26/opinion/airlines-tickets-regulation-deregulation.html,"Deregulation has succeeded in some ways, but consumer dissatisfaction abounds.",3244
90,"If We Want to Live in a World With Rules, They Have to Apply to Israel, Too",2024-01-28,1,https://www.nytimes.com/2024/01/28/opinion/israel-genocide-south-africa.html,"Whatever the eventual outcome of the genocide case, it sets up an epic battle over the meaning and values of the so-called rules-based order.",3386
93,African National Congress Suspends Former President Jacob Zuma,2024-01-29,0,https://www.nytimes.com/2024/01/29/world/africa/south-africa-jacob-zuma-anc.html,"After defending the former South African president and party leader during a slew of corruption scandals, the country’s powerful governing party punished him for endorsing the opposition.",3484
94,Defense Department Identifies 3 Soldiers Killed at Base in Jordan,2024-01-29,1,https://www.nytimes.com/2024/01/29/us/us-soldiers-killed-jordan.html,"Officials said the dead were three Army Reserve soldiers from Georgia, part of an engineering company trained for deployment at short notice.",3527
96,Memphis Releases New Footage From Night of Tyre Nichols’s Fatal Beating,2024-01-30,0,https://www.nytimes.com/2024/01/30/us/tyre-nichols-footage-police-memphis.html,"The additional 21 hours of recordings offer a fuller picture of what happened after the traffic stop, but they do not show what led to it.",3685
99,Two Big Storms Are Coming to California,2024-01-31,0,https://www.nytimes.com/2024/01/31/us/california-storms-atmospheric-river.html,"The atmospheric rivers could lead to flooding, mudslides and road closures over the next week.",3761
101,"Atmospheric River Drenches California, With More Storms on the Way",2024-02-01,0,https://www.nytimes.com/2024/02/01/us/california-storm-atmospheric-river.html,"The state’s latest powerful storm has downed trees and flooded some roads, but has not yet caused the scale of disruption seen last winter.",3920
105,How Closely Does Iran Control Its Proxy Forces? It Depends.,2024-02-02,1,https://www.nytimes.com/2024/02/02/world/middleeast/iran-militias-israel.html,"Tehran provides arms and support to an array of militant groups across the Mideast, but it does not call all the shots, experts say.",4067
106,Prosecutors in Documents Case Reject Trump’s Claims of Bias,2024-02-02,0,https://www.nytimes.com/2024/02/02/us/politics/trump-documents-case-intelligence-agencies.html,"The office of the special counsel, Jack Smith, pushed back on the former president’s assertions that his prosecution was motivated by animosity toward him in intelligence agencies.",4131
107,Biden Finds Support but Also Protests in Michigan,2024-02-03,0,https://www.nytimes.com/2024/02/02/us/politics/biden-michigan-support-protests.html,The president’s Michigan trip underscored the fresh challenges he faces this year.,4137
109,U.S. Strikes Iranian-Backed Targets for Third Day in a Row,2024-02-04,1,https://www.nytimes.com/2024/02/04/world/middleeast/us-mideast-strikes-blinken.html,The attack on Houthi militants in Yemen came as Secretary of State Antony Blinken headed for the Mideast to try to defuse escalating tensions.,4279
111,"California Power Outages Affect More Than 850,000 Customers",2024-02-05,0,https://www.nytimes.com/2024/02/04/us/california-power-outages-storm-wind.html,Utility providers were uncertain when the lights would come back on as outages were reported from Sacramento to just north of Los Angeles.,4291
112,Here Is How Much Rain Has Fallen in Los Angeles,2024-02-05,0,https://www.nytimes.com/2024/02/05/us/los-angeles-rainfall-total.html,"The rainfall was expected to last well into Monday, with the total in some parts of Los Angeles meeting or exceeding the average rainfall for February.",4315
113,Severe Weather Disrupts Travel in China Ahead of Lunar New Year,2024-02-05,0,https://www.nytimes.com/2024/02/05/world/asia/china-travel-weather-lunar-new-year.html,"Hundreds of flights and trains have been canceled as China’s most important holiday approaches, and more bad weather is in the forecast.",4316
114,Blinken’s Mideast visit and U.S. aid to Israel are the focus in Washington this week.,2024-02-05,1,https://www.nytimes.com/2024/02/05/world/middleeast/blinkens-mideast-visit-and-us-aid-to-israel-are-the-focus-in-washington-this-week.html,A trip back to the Middle East by the United States’ top diplomat to continue talks on a possible cease-fire deal highlights a week of high-level wrangling over the war in Gaza and beyond.,4317
115,"​This Florida Mall Has Gucci, Prada … and Soon, Affordable Housing?",2024-02-05,0,https://www.nytimes.com/2024/02/05/us/florida-affordable-housing-bal-harbour.html,"A​ new law​ lets developers bypass local zoning rules if they promise “work force housing.”​ ​I​t has stirred an uproar around the state, most recently in affluent Bal Harbour​.",4328
119,What Israeli Soldiers’ Videos Reveal: Cheering Destruction and Mocking Gazans,2024-02-06,1,https://www.nytimes.com/2024/02/06/world/middleeast/israel-idf-soldiers-war-social-media-video.html,An analysis of social media videos found Israeli soldiers filming themselves in Gaza and destroying what appears to be civilian property. The footage provides a rare and unsanctioned window into the war.,4459
125,Deportation Flights From the U.S. to Venezuela in Limbo,2024-02-07,0,https://www.nytimes.com/2024/02/07/world/americas/migrant-crisis-deport-venezuela-flights.html,Flights sending Venezuelans back to their homeland have not taken off for two weeks. The move could be a setback to President Biden’s effort to tackle a migration surge.,4716
126,"Johnson Stumbles, Deepening Republican Disarray and His Own Challenges",2024-02-07,0,https://www.nytimes.com/2024/02/07/us/politics/johnson-impeachment-israel-aid.html,"Little more than 100 days into his tenure, the speaker who was handed an impossible job has only made it more difficult for himself, baffling his colleagues.",4722
127,The Political Perils of a Black-Jewish Rift Over the War in Gaza,2024-02-08,1,https://www.nytimes.com/2024/02/07/opinion/black-jewish-israel-gaza.html,A divide bodes ill for Democrats and perhaps even for Palestinians.,4726
129,"Talk to Us, President Biden, but Not About Trump",2024-02-08,0,https://www.nytimes.com/2024/02/08/opinion/biden-trump-super-bowl.html,Focus on your record and plans. Let him rant and rage.,4846
131,Attorney General’s Letter to Congress on the Hur Report,2024-02-08,0,https://www.nytimes.com/interactive/2024/02/08/us/Garland-letter-congress-hur-report.html,"Attorney Merrick B. Garland notified Congress of the closure of the investigation of President Biden by Robert K. Hur, the special counsel.",4888
132,"Trump, Putin, Carlson and the Shifting Sands of Today’s American Politics",2024-02-08,1,https://www.nytimes.com/2024/02/08/us/politics/trump-putin-carlson-shifting-american-politics.html,An interview with Russia’s leader and congressional resistance to aid for Ukraine underscore the transformation of the parties and electorate in the United States more than three decades after the Cold War.,4889
138,"Welcome to Japan, Taylor Swift Fans. Please Remain Seated as You Cheer.",2024-02-09,0,https://www.nytimes.com/2024/02/09/world/asia/taylor-swift-tokyo-japan.html,Some Japanese spectators are grumbling that foreign concertgoers visiting Tokyo don’t share their rather restrained local approach to taking in a show.,4991
143,China Welcomes a Chilly Year of the Dragon,2024-02-10,0,https://www.nytimes.com/interactive/2024/02/10/world/asia/china-lunar-new-year.html,The Lunar New Year begins on Saturday. Here is how the holiday is going in China.,5154
144,Monday Briefing: Pakistan’s Stunning Election Results,2024-02-11,0,https://www.nytimes.com/2024/02/11/world/asia/pakistan-election-khan-trump-ukraine-asia.html,"Also, Donald Trump derides NATO and the U.S. prepares to watch the Super Bowl.",5217
145,Why I Am Now Deeply Worried for America,2024-02-12,0,https://www.nytimes.com/2024/02/12/opinion/biden-trump-america.html,The frenzy over President Biden’s age is a very bad sign.,5315
150,"Two Students, Two Views, One Campus Conflict in the Midwest",2024-02-13,0,https://www.nytimes.com/2024/02/13/us/umich-palestinian-zionist.html,"At the University of Michigan, a Palestinian activist and a self-described Zionist counterprotester have little in common, except the way they were shaped by life on campus.",5464
151,"Larry Taylor, Vietnam War Pilot Lauded for Daring Rescue, Dies at 81",2024-02-13,0,https://www.nytimes.com/2024/02/13/us/larry-taylor-dead.html,His evacuation of four besieged U.S. Army Rangers was belatedly recognized last September with the Medal of Honor.,5488
155,Takeaways From the Hearing in the Georgia Trump Case,2024-02-15,0,https://www.nytimes.com/2024/02/15/us/politics/trump-georgia-fani-willis-hearing.html,"Fani T. Willis, the district attorney, defended her personal conduct in a tense courtroom appearance as defense lawyers sought to disqualify her from the prosecution of Donald J. Trump and his allies in Georgia.",5731
156,"In Trump Case, Thorny Conflict of Interest Question Looms",2024-02-15,0,https://www.nytimes.com/2024/02/15/us/politics/conflict-of-interest-trump-georgia.html,Defense lawyers argue that the romantic relationship between top prosecutors in the Trump election interference case in Georgia merits disqualification.,5740
158,Trump’s First Criminal Trial Date Was Set for Next Month,2024-02-15,0,https://www.nytimes.com/2024/02/15/briefing/trump-trial-date-white-house-doj-letters.html,"Also, a Columbia surgeon published flawed studies. Here’s the latest at the end of Thursday.",5815
159,Architect Embraces Indigenous Worldview in Australian Designs,2024-02-16,0,https://www.nytimes.com/2024/02/16/world/australia/jefa-greenaway-indigenous-architecture.html,"Jefa Greenaway is a leading proponent of “Country-centered design,” which calls for collaboration with Indigenous communities and puts sustainability concerns at a project’s core.",5869
160,"Kylian Mbappé, P.S.G. and the Dangers of a Loveless Marriage",2024-02-16,0,https://www.nytimes.com/2024/02/16/world/europe/kylian-mbappe-real-madrid.html,The relationship between a superstar and his hometown club has always felt transactional. Did either side get what they wanted?,5930
166,South Africa Says Palestinians Are Enduring ‘Extreme Form of Apartheid’,2024-02-20,1,https://www.nytimes.com/2024/02/20/world/middleeast/icj-south-africa-palestinian-israel-un-court.html,"The hearings, which focus on Israel’s occupation of the West Bank and East Jerusalem, make up one of the two matters regarding Israel currently before the International Court of Justice.",6312
167,"Ameen Sayani, Pioneering Radio Star in India, Dies at 91",2024-02-21,0,https://www.nytimes.com/2024/02/21/world/asia/ameen-sayani-dead.html,"One of the first voices heard on the airwaves in Asia, he became recognized by generations of listeners in India over 42 years of broadcasting Bollywood music.",6439
168,Rethinking How We Fund the Arts in America,2024-02-21,0,https://www.nytimes.com/2024/02/21/opinion/arts-funding.html,Responses to an essay that suggested treating cultural spaces like infrastructure. Also: U.S. Steel; immigration; a no-victims defense; a shadow government.,6469
175,Ukraine’s Deepening Fog of War,2024-02-24,1,https://www.nytimes.com/2024/02/24/world/europe/ukraine-russia-war.html,"Two years after Russia’s full-scale invasion, Ukrainian leaders are seeking a path forward in the face of ferocious assaults and daunting unknowns.",6905
177,Man Convicted in Transgender Woman’s Killing in First Federal Trial of Its Kind,2024-02-24,0,https://www.nytimes.com/2024/02/24/us/dime-doe-hate-crime-transgender-murder.html,"Prosecutors said the man was upset that word about his sexual relationship with the victim, Dime Doe, was circulating in a South Carolina town.",6931
178,"After South Carolina, Trump’s March to the Nomination Quickens",2024-02-25,0,https://www.nytimes.com/2024/02/25/us/politics/trump-south-carolina-analysis.html,"The former president shows no sign of being shaken from his controlling position in the G.O.P. — not in 2024, and not in the foreseeable future.",6974
181,"Like Many a Hero, Flaco the Owl Made His Choice",2024-02-26,0,https://www.nytimes.com/2024/02/26/opinion/flaco-owl-death-birds.html,Flaco’s short life showed that freedom bundled with danger is worth the risk that it may be short and might end badly.,7082
182,Biden Says He’s Hopeful for a Gaza Cease-Fire Within a Week,2024-02-26,1,https://www.nytimes.com/2024/02/26/us/politics/biden-israel-gaza-cease-fire.html,The president offered a positive assessment of negotiations aimed at halting Israel’s military operations in exchange for the release of hostages held by Hamas.,7128
184,"Hunger, Terrorism and the Threat of War: Somalia’s Year of Crises",2024-02-27,1,https://www.nytimes.com/2024/02/27/world/africa/somalia-ethiopia-al-shabab-conflict.html,"Terrorism, hunger and devastating floods have roiled the Horn of Africa nation. Now, it faces an even bigger challenge: the prospect of war with a neighbor, Ethiopia.",7201
186,What Trump Would Do to Our Economy,2024-02-28,0,https://www.nytimes.com/2024/02/28/opinion/trump-economy-immigration-china.html,"While Trump’s economic policy had serious flaws in his first term, the prospect of what he could do in a second term is frightening.",7343
187,Ukraine Charges Key Figure in Arms Trade With Corruption,2024-02-28,1,https://www.nytimes.com/2024/02/28/world/europe/ukraine-weapons-politician-charged-corruption.html,A Times investigation showed how the war helped Serhiy Pashinsky rehabilitate a troubled reputation. Now he faces charges related to accusations about his past.,7367
190,Ghana’s Parliament Passes Anti-Gay Bill With Jail Terms,2024-02-28,0,https://www.nytimes.com/2024/02/28/world/africa/ghana-anti-gay-bill.html,The legislation would sentence those who identify as L.G.B.T.Q. to three years in jail and punish those who promote gay issues as well. It would be among the harshest on the African continent.,7403
191,Wildfire Scorches Texas Panhandle,2024-02-29,0,https://www.nytimes.com/video/us/100000009335772/texas-wildfires-smokehouse-creek.html,"Drone footage shows charred damage across swaths of land from the Smokehouse Creek blaze, which is the second-largest wildfire on record in the state.",7470
193,Fire in Bangladeshi Shopping Mall Kills Dozens,2024-03-01,0,https://www.nytimes.com/2024/02/29/world/asia/bangladesh-building-fire-dhaka.html,"Officials said the multistory fire broke out just before 10 p.m. on Thursday. The blaze left dozens injured, many in critical condition.",7587
199,"As Pakistan Installs a Prime Minister, the Road Ahead Looks Rocky",2024-03-03,0,https://www.nytimes.com/2024/03/03/world/asia/pakistan-prime-minister-shehbaz-sharif.html,Parliament’s election of Shehbaz Sharif for a second term follows a month of political turmoil. The new government faces economic troubles and questions of legitimacy.,7872
202,F.A.A. Audit Finds Quality-Control Lapses at Boeing and Spirit AeroSystems,2024-03-04,0,https://www.nytimes.com/2024/03/04/us/politics/faa-boeing-737-max-audit.html,The regulator said the audit found instances in which Boeing and one of its key suppliers did not properly adhere to quality-control requirements.,8017
204,Texas 37th Congressional District Primary Election Results,2024-03-05,0,https://www.nytimes.com/interactive/2024/03/05/us/elections/results-texas-us-house-37-primary.html,Get live results and maps from the 2024 Texas primary election.,8213
205,California 26th Congressional District Primary Election Results,2024-03-05,0,https://www.nytimes.com/interactive/2024/03/05/us/elections/results-california-us-house-26-primary.html,Get live results and maps from the 2024 California primary election.,8246
206,Texas 32nd Congressional District Primary Election Results,2024-03-05,0,https://www.nytimes.com/interactive/2024/03/05/us/elections/results-texas-us-house-32-primary.html,Get live results and maps from the 2024 Texas primary election.,8249
207,Super Tuesday Results: Key Races to Watch,2024-03-05,0,https://www.nytimes.com/interactive/2024/03/05/us/elections/results-super-tuesday-key-races.html,See results from Super Tuesday's presidential primaries and other top races.,8284
208,Arkansas Primary Election Results,2024-03-05,0,https://www.nytimes.com/interactive/2024/03/05/us/elections/results-arkansas-primary.html,Get live results and maps from the 2024 Arkansas primary elections.,8287
214,"Too Little Ammunition, Too Many Russians: The Harrowing Retreat From Avdiivka",2024-03-06,1,https://www.nytimes.com/2024/03/06/world/europe/ukraine-avdiivka-russia.html,"The fall of the city, when it came in mid-February, was brutal and fast. Soldiers fought for their lives. Many did not make it.",8421
215,Federal Judge Rules Minority Business Agency Must Serve White People as Well,2024-03-06,0,https://www.nytimes.com/2024/03/06/us/business-development-race-affirmative-action.html,"The ruling, by a judge in Texas, was the latest in a string of court decisions that have eroded or struck down federal affirmative-action mandates in a variety of arenas.",8476
218,Mutual Frustrations Arise in U.S.-Ukraine Alliance,2024-03-07,1,https://www.nytimes.com/2024/03/07/us/politics/ukraine-us-military-frustrations.html,Ukrainian officials are disheartened about stalled aid. The Pentagon wants Kyiv to heed its advice on how to fight.,8618
219,"Embryo Transfers Resume in Alabama, Even as Legal Questions Remain",2024-03-07,0,https://www.nytimes.com/2024/03/07/us/politics/alabama-embryo-ivf.html,"Hours after the governor signed a law that offers legal protections to clinics and doctors performing I.V.F. procedures, at least one clinic resumed embryo transfers.",8627
226,What Weight Did Biden’s Words Carry?,2024-03-08,0,https://www.nytimes.com/2024/03/08/opinion/letters/biden-state-of-union-speech.html,Readers assess the State of the Union address. Also: Trump trauma; National Guard in the subway; unionized college basketball.,8844
227,California Officials Investigate Possible Oil Spill Off Huntington Beach,2024-03-08,0,https://www.nytimes.com/2024/03/08/us/oil-spill-huntington-beach-california.html,It was not immediately clear what caused an oil sheen that officials said was about 2.5 miles long and half a mile wide.,8861
235,Swiss Rescuers Find Bodies of Five Missing Skiers,2024-03-11,0,https://www.nytimes.com/2024/03/11/world/europe/swiss-alps-skiers-missing.html,The police said weather conditions had deteriorated after the group set out from the town of Zermatt over the weekend. The search continued for a sixth person.,9121
238,Testimony Fleshes Out Account of Trump’s Demand to Go to Capitol on Jan. 6,2024-03-11,0,https://www.nytimes.com/2024/03/11/us/politics/jan-6-trump-motorcade-secret-service.html,But a newly released transcript of an interview of the Secret Service agent who drove Donald Trump’s vehicle that day disputes that he tried to grab the steering wheel or lunged at another agent.,9152
240,"Is This What Happens When You Build a Real Social Safety Net, Then Take It Away?",2024-03-12,0,https://www.nytimes.com/2024/03/12/opinion/covid-economy-safety-net.html,Americans’ economic pessimism.,9242
241,Washington State Will Be Next Test of ‘Uncommitted’ Protest Against Biden,2024-03-12,0,https://www.nytimes.com/2024/03/12/us/politics/biden-uncommitted-washington-israel-gaza.html,"The state’s primary election on Tuesday is the latest site of a movement to reject the president over his stance on Israel, though it may be days before the results are fully clear.",9262
242,"Sotomayor and Barrett, Lately at Odds, Discuss Relations at the Supreme Court",2024-03-12,0,https://www.nytimes.com/2024/03/12/us/sotomayor-barrett-supreme-court.html,A conversation on civics and civility included discussion of whether the court is more like a really good preschool or an arranged marriage with no possibility of divorce.,9324
247,R.N.C. Shutting Down Community Centers Aimed at Minority Outreach,2024-03-13,0,https://www.nytimes.com/2024/03/13/us/politics/republican-community-centers-closed.html,"While the new chairman says the party still plans to use the centers, an overhaul of G.O.P. operations continues as Donald Trump’s allies take over.",9466
256,Biden’s $53 Million February Haul Fuels Money Edge Over Trump,2024-03-17,0,https://www.nytimes.com/2024/03/17/us/politics/biden-february-fundraising-2024.html,"The president’s campaign and affiliated groups, including the D.N.C., hold a significant cash-on-hand advantage over Donald J. Trump and Republicans, as Mr. Trump continues to spend on legal bills.",9926
257,The Spectacle of the Ambani Wedding Event Reveals India’s Inequality,2024-03-17,0,https://www.nytimes.com/2024/03/17/opinion/india-ambani-merchant-wedding.html,The spectacle of the Ambani wedding event reveals India’s inequality.,9928
265,Blinken Describes U.S. Push at the U.N. for Gaza Cease-Fire,2024-03-21,1,https://www.nytimes.com/2024/03/21/world/middleeast/blinken-un-cease-fire.html,"In Saudi Arabia, the secretary of state discussed a U.S. draft resolution at the U.N. Security Council calling for “an immediate cease-fire tied to the release of hostages” in Gaza.",10487
268,"Luis Rubiales, Former Spanish Soccer Chief, Faces Arrest",2024-03-21,0,https://www.nytimes.com/2024/03/21/world/europe/rubiales-soccer-arrest-spain-super-cup.html,"Mr. Rubiales, who resigned after kissing a player at the Women’s World Cup, is a focus of Spanish investigators looking into accusations of corruption and money laundering.",10578
269,"Robert L. Barry, 89, Diplomat Who Negotiated Pact With Soviets, Dies",2024-03-21,0,https://www.nytimes.com/2024/03/21/us/robert-l-barry-dead.html,He was the chief negotiator on a troop-inspections accord that American officials saw as crucial in easing East-West tensions near the end of the Cold War.,10596
